,Date,Time,Account name,Account link,Tweet text,Mediafile,Tweet quotation,Likes,Retweets,Comments
32,05 Nov 2018,18:46,Barack Obama,@BarackObama,"When you vote, you have the power to protect voting rights. To make sure our criminal justice system treats everyone equally under the law. To strengthen laws that protect women in the workplace from harassment – and make sure they’re paid equally.",No,No,61831.0,14285.0,528.0
33,05 Nov 2018,18:46,Barack Obama,@BarackObama,"When we've been at such crossroads before, Americans have made the right choice. Not because we sat back and waited for history to happen -- but because we marched, and mobilized, and voted. We made history happen.",No,No,53251.0,12029.0,750.0
34,05 Nov 2018,18:46,Barack Obama,@BarackObama,Tomorrow’s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Making sure working families get a fair shake is on the ballot. The character of our country is on the ballot.,No,No,523605.0,144332.0,8190.0
35,01 Nov 2018,21:20,Barack Obama,@BarackObama,"Speaking of preexisting conditions, open enrollment starts today. If you or someone you know needs health care, visit http://HealthCare.gov . Thanks to financial help, most people can find plans for $75/month or less, so check out your options and find a plan that works for you.",Yes,No,57367.0,22245.0,3702.0
36,01 Nov 2018,18:32,Barack Obama,@BarackObama,"Elections matter. You have the power to protect a family’s health care. Make a plan, grab some friends, and vote:",No,No,34057.0,8950.0,2210.0
37,01 Nov 2018,18:32,Barack Obama,@BarackObama,"While we're talking about preexisting conditions, the ACA is the law that finally protected your coverage for preexisting conditions.

Those protections and your health care are absolutely at stake on Tuesday. Vote for Democrats who’ll protect them.",No,No,74943.0,22881.0,2068.0
38,31 Oct 2018,18:20,Barack Obama,@BarackObama,"Not sure who and what you can vote for? Head over to http://votesaveamerica.com/ballot  to look up your state, learn who's running to represent you, which measures you can help decide, and more. Read up, and get ready to vote on November 6.",No,No,99604.0,37347.0,4383.0
39,30 Oct 2018,15:44,Barack Obama,@BarackObama,"Your vote can decide the health care of millions. Your voice can determine the character of our country. You have power — use it! In most states, you don't even have to wait until Election Day to cast a ballot. Find out where you can vote before Nov. 6: http://IWillVote.com ",Yes,No,84988.0,25722.0,3431.0
40,27 Oct 2018,21:54,Barack Obama,@BarackObama,"We grieve for the Americans murdered in Pittsburgh. All of us have to fight the rise of anti-Semitism and hateful rhetoric against those who look, love, or pray differently. And we have to stop making it so easy for those who want to harm the innocent to get their hands on a gun.",No,No,856527.0,190509.0,21654.0
41,17 Oct 2018,17:21,Barack Obama,@BarackObama,"The last presidential election turned on fewer than 100,000 votes in three states. More people go to Coachella. There’s no good excuse not to vote. Head over to http://Vote.org  to check your registration, get your absentee ballot, and find out where to vote on November 6.",No,Yes,249862.0,101638.0,9955.0
42,12 Oct 2018,01:51,Barack Obama,@BarackObama,America is always at our best when we look out for each other. Please do what you can to help people recover and rebuild from Hurricane Michael.,No,No,98552.0,18903.0,3392.0
43,11 Oct 2018,14:01,Barack Obama,@BarackObama,"I’m so proud of the work @MichelleObama has done over the years to ensure adolescent girls have access to education, and I know that the @GirlsAlliance will be another great chapter in her effort to get girls the opportunities they deserve.",No,Yes,192012.0,34540.0,3527.0
44,09 Oct 2018,03:47,Barack Obama,@BarackObama,Congratulations to Drew Brees on the all time passing record. Always a class act.,No,No,333654.0,35576.0,5274.0
45,03 Oct 2018,19:08,Barack Obama,@BarackObama,"Happy Anniversary, @MichelleObama. For 26 years, you’ve been an extraordinary partner, someone who can always make me laugh, and my favorite person to see the world with.",Yes,No,699488.0,69664.0,19122.0
46,01 Oct 2018,16:46,Barack Obama,@BarackObama,"Today, I’m proud to endorse even more Democratic candidates who aren’t just running against something, but for something—to expand opportunity for all of us and to restore dignity, honor, and compassion to public service. They deserve your vote:",Yes,No,215813.0,47904.0,9904.0
47,29 Sep 2018,16:29,Barack Obama,@BarackObama,"From civil servants to organizers, the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities, their countries, and the collective future of Europe and the world. Keep up the good work.",Yes,No,117991.0,11867.0,3010.0
48,25 Sep 2018,20:49,Barack Obama,@BarackObama,"The antidote to government by a powerful few is government by the organized, energized many. This National Voter Registration Day, make sure you're registered, vote early if you can, or show up on November 6. This moment is too important to sit out.",No,No,382641.0,102003.0,10559.0
49,14 Sep 2018,16:20,Barack Obama,@BarackObama,"The first class of Obama Fellows is full of leaders like Keith—hardworking, innovative, and dedicated to partnering with their communities to drive transformational change.",No,Yes,90484.0,14139.0,4067.0
